Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
99999.0,2.0,1667.0,15,26,2013,60.0,39.0,16.0,Кондратюка,5.0
120000.0,3.0,1739.0,1,9,1977,69.0,37.0,14.0,Мечнікова,18.0
150000.0,3.0,1829.0,5,12,1997,82.0,42.0,9.0,Героїв Сталінграда,31.0
285000.0,4.0,1900.0,8,9,2009,150.0,37.0,22.0,Рибальська,91.0
72500.0,2.0,1394.0,4,4,2019,52.0,30.0,14.0,Березова,8.0
750000.0,3.0,5000.0,10,14,2017,150.0,95.0,18.0,Саперне Поле,37.0
493000.0,4.0,4287.0,12,24,2019,115.0,80.0,20.0,Антоновича,15.0
290000.0,3.0,3333.0,22,25,2019,87.0,55.0,15.0,Маккейна,17.0
247000.0,3.0,2100.0,13,17,2019,69.0,63.0,15.0,Лейпцизька,18.0
90000.0,2.0,1139.0,13,23,2015,79.0,34.0,18.0,Драгоманова,27.0
80000.0,3.0,1250.0,9,9,1972,64.0,37.0,14.0,Коновальця,13.0
103900.0,3.0,1071.0,21,25,2009,97.0,51.0,16.0,Василя Стуса,30.0
265000.0,3.0,2944.0,13,17,2006,90.0,38.0,42.0,Тютюнника,10.0
105000.0,3.0,1641.0,1,5,1957,64.0,40.0,8.0,Січових Стрільців,16.0
78000.0,2.0,1696.0,5,11,2018,46.0,20.0,20.0,Райдужна,6.0
44900.0,1.0,1182.0,7,10,1988,38.0,17.0,8.0,Закревського,13.0
494000.0,6.0,1502.0,8,10,1996,329.0,193.0,47.0,Тургенєвська,89.0
55000.0,2.0,1078.0,9,10,1982,51.0,31.0,8.0,Зої Космодем'янської,12.0
59280.0,2.0,874.0,5,26,2009,69.0,37.0,14.0,Радченка,18.0
56000.0,1.0,1273.0,11,25,2009,44.0,37.0,14.0,Сверстюка,18.0
47500.0,1.0,1105.0,10,18,2006,43.0,20.0,10.0,Милославська,13.0
100000.0,2.0,1099.0,8,9,1970,91.0,37.0,14.0,Метрологічна,40.0
103000.0,1.0,2341.0,8,18,2009,44.0,37.0,14.0,Деміївська,18.0
95000.0,3.0,1118.0,2,15,2019,85.0,47.0,13.0,Перемоги,25.0
76800.0,3.0,985.0,2,5,1958,78.0,78.0,9.0,Вишгородська,18.0
257500.0,2.0,4769.0,8,25,2015,54.0,37.0,14.0,Маккейна,3.0
52500.0,1.0,1094.0,9,22,2009,48.0,37.0,21.0,Перемоги,18.0
302200.0,4.0,2001.0,5,22,2013,151.0,37.0,14.0,Перемоги,100.0
63500.0,2.0,814.0,22,25,2009,78.0,36.0,12.0,Балтійський,30.0
550000.0,4.0,3416.0,8,26,2009,161.0,67.0,40.0,Звіринецька,54.0
98700.0,2.0,1484.0,15,25,2019,69.0,37.0,19.0,Ревуцького,13.0
35000.0,1.0,946.0,8,9,1992,37.0,19.0,7.0,Милославська,11.0
56000.0,2.0,851.0,14,24,2009,69.0,37.0,14.0,Вербицького,18.0
36000.0,1.0,1333.0,4,5,1960,27.0,37.0,14.0,Новгородська,18.0
87000.0,1.0,1839.0,2,25,2015,69.0,25.0,10.0,Бажана,34.0
220000.0,5.0,1222.0,5,6,2009,180.0,72.0,12.0,Канівська,96.0
109000.0,3.0,1253.0,7,16,2009,87.0,37.0,14.0,Максимовича,36.0
125000.0,2.0,1689.0,23,25,2016,74.0,37.0,14.0,Донця,23.0
600000.0,3.0,4800.0,2,14,2009,125.0,37.0,14.0,Драгомирова,74.0
60000.0,1.0,1277.0,5,16,2009,47.0,22.0,14.0,Тираспольська,11.0
15700000.0,3.0,157000.0,2,4,1917,100.0,76.0,12.0,Саксаганського,12.0
45000.0,1.0,1214.9,5,16,1990,69.0,37.0,14.0,Тираспольська,18.0
160000.0,3.0,1356.0,11,25,2015,118.0,85.0,33.0,Зарічна,0.0
65000.0,2.0,1413.0,11,16,1981,46.0,27.0,9.0,Гонгадзе,10.0
495000.0,3.0,4420.0,13,39,2017,112.0,37.0,14.0,Українки,61.0
59000.0,2.0,1283.0,3,5,1965,46.0,37.0,14.0,Світлицького,18.0
68000.0,2.0,1447.0,5,10,1970,47.0,35.0,7.0,Воробйова,5.0
81000.0,3.0,1012.0,17,25,2018,80.0,60.0,14.0,Каховська,6.0
67000.0,1.0,1675.0,9,23,2009,40.0,37.0,12.0,Глибочицька,18.0
170000.0,3.0,1339.0,3,3,1954,127.0,86.0,30.0,Білокур,11.0
54500.0,1.0,996.0,23,25,2009,69.0,37.0,12.0,Балтійський,20.0
232000.0,3.0,1706.0,11,13,2014,136.0,70.0,14.0,Антоновича,52.0
75000.0,2.0,789.0,18,25,2009,69.0,37.0,14.0,Кондратюка,18.0
99000.0,1.0,2152.0,3,4,1898,46.0,25.0,10.0,Гончара,11.0
55000.0,1.0,1310.0,6,25,2019,42.0,13.0,9.0,Ревуцького,20.0
475000.0,3.0,5000.0,3,13,2017,95.0,66.0,13.0,Драгоманова,16.0
70000.0,1.0,1659.0,1,19,2006,69.0,18.0,10.0,Драгоманова,41.0
79900.0,2.0,1211.0,24,25,2013,66.0,36.0,13.0,Сім’ї Кульженків,17.0
215767.9,3.0,2157.7,8,16,2000,100.0,57.0,12.0,Панельна,31.0
155000.0,3.0,1550.0,13,16,2012,100.0,55.0,16.0,Вільямса,29.0
100000.0,1.0,1667.0,13,25,2008,60.0,21.0,17.0,Голосіївська,22.0
1010000.0,4.0,5674.0,23,26,2017,178.0,92.0,22.0,Оболонський,64.0
45000.0,1.0,1500.0,1,9,1975,30.0,16.0,5.0,Миколи Голего,9.0
80000.0,1.0,1333.0,4,24,2012,60.0,37.0,14.0,Дніпровська,9.0
115000.0,2.0,1575.0,21,25,2015,73.0,37.0,15.0,Малиновського,21.0
620000.0,5.0,3605.0,14,17,2001,172.0,93.0,13.0,Назарівська,66.0
250500.0,6.0,1668.0,13,14,1978,69.0,81.0,13.0,Гоголівська,18.0
39000.0,1.0,1345.0,1,5,1963,29.0,16.0,5.0,Дорогожицька,8.0
360000.0,5.0,2400.0,5,6,1936,150.0,120.0,15.0,Грушевського,15.0
250000.0,2.0,2976.0,15,23,2008,84.0,60.0,15.0,Іллєнка,9.0
95000.0,1.0,1863.0,22,25,2018,51.0,14.0,20.0,Липківського,17.0
63900.0,1.0,761.0,13,14,2013,84.0,44.0,18.0,Ушинського,22.0
81000.0,2.0,1528.0,13,25,2020,53.0,37.0,14.0,Польова,2.0
219000.0,1.0,3776.0,2,9,2019,58.0,20.0,20.0,Саперне Поле,18.0
162000.0,3.0,1604.0,19,26,2017,101.0,55.0,25.0,Панельна,21.0
260000.0,3.0,2321.0,14,18,2013,112.0,60.0,17.0,Хмельницького,35.0
163000.0,1.0,3622.0,2,22,2015,45.0,22.0,12.0,Маккейна,11.0
499000.0,2.0,4990.0,22,25,2019,100.0,37.0,14.0,Антоновича,49.0
310000.0,3.0,1925.0,3,18,2009,161.0,120.0,35.0,Толстого,6.0
99800.0,3.0,1535.0,6,8,1962,65.0,37.0,14.0,Дружби Народів,14.0
130000.0,1.0,3023.0,9,26,2009,43.0,37.0,14.0,Оболонський,18.0
70000.0,2.0,1273.0,4,5,1938,55.0,39.0,8.0,Багговутівська,8.0
44500.0,2.0,1025.0,1,5,1961,69.0,29.0,6.0,Антонова,34.0
199000.0,2.0,2488.0,2,5,1937,80.0,40.0,14.0,Володимирська,26.0
120000.0,2.0,2500.0,9,9,1972,48.0,37.0,14.0,Українки,18.0
68750.0,2.0,892.9,7,16,2009,77.0,34.0,12.0,Сім’ї Кульженків,31.0
162000.0,3.0,1800.0,11,26,2005,90.0,48.0,23.0,Коновальця,19.0
209000.0,2.0,2580.0,2,10,2003,81.0,40.0,15.0,Мирного,26.0
275000.0,2.0,2926.0,15,16,2006,94.0,37.0,48.0,Московська,9.0
38000.0,1.0,1056.0,8,9,1984,36.0,18.0,8.0,Жмеринська,10.0
114000.0,3.0,1583.0,6,7,1959,72.0,51.0,9.0,Бойчука,12.0
161000.0,2.0,1809.0,17,25,2018,89.0,37.0,14.0,Липківського,38.0
330000.0,3.0,3000.0,18,24,2018,110.0,60.0,40.0,Лабораторний,10.0
1500000.0,5.0,5000.0,8,18,2009,300.0,37.0,14.0,Інститутська,249.0
295000.0,3.0,2757.0,6,6,1914,107.0,74.0,11.0,Хрещатик,22.0
62000.0,1.0,1512.0,2,25,2009,41.0,14.0,14.0,Дніпровська,13.0
255000.0,4.0,2024.0,16,25,2016,126.0,70.0,15.0,Саперне Поле,41.0
68000.0,3.0,907.0,5,15,1993,75.0,43.0,8.0,Комарова,24.0
164000.0,2.0,2702.0,30,30,2009,69.0,37.0,12.0,Драгомирова,20.0
139000.0,3.0,1252.0,23,36,2007,111.0,60.0,18.0,Срібнокільська,33.0
115000.0,2.0,1337.0,11,25,2008,86.0,37.0,14.0,Чоколівський,35.0
104000.0,1.0,1857.0,10,24,2009,56.0,16.0,16.0,Звіринецька,24.0
85000.0,1.0,1518.0,7,14,2009,56.0,20.0,14.0,Вишгородська,22.0
190000.0,2.0,3585.0,3,20,2019,53.0,18.0,20.0,Драгомирова,15.0
65000.0,2.0,1161.0,3,4,1952,56.0,34.0,9.0,Будівельників,13.0
105000.0,3.0,1117.0,6,22,2010,94.0,47.0,15.0,Урлівська,32.0
57000.0,2.0,919.0,15,21,2009,62.0,26.0,26.0,Сормовська,10.0
65000.0,1.0,1182.0,5,18,2009,55.0,37.0,21.0,Правди,18.0
98000.0,2.0,1388.0,8,25,2006,69.0,37.0,14.0,Верховинна,18.0
55000.0,2.0,1058.0,2,9,1986,52.0,29.0,8.0,Вербицького,15.0
55000.0,1.0,1618.0,5,33,2009,34.0,37.0,9.0,Велика Васильківська,18.0
115000.0,2.0,2170.0,7,7,1961,53.0,35.0,14.0,Велика Васильківська,4.0
158364.0,2.0,1760.0,4,11,2009,90.0,45.0,20.0,Бойчука,25.0
80000.0,1.0,2000.0,11,25,2011,40.0,19.0,11.0,Лобановського,10.0
41000.0,2.0,909.0,2,3,1959,69.0,37.0,14.0,Миколи Шепелєва,18.0
435000.0,2.0,3625.0,2,10,1998,120.0,85.0,10.0,Кропивницького,25.0
100000.0,1.0,2000.0,3,23,2016,50.0,28.0,20.0,Трускавецька,2.0
88107.1,2.0,1223.7,23,26,2009,72.0,34.0,15.0,Маланюка,23.0
130000.0,1.0,2653.0,4,16,2009,49.0,18.0,16.0,Драгомирова,15.0
125000.0,2.0,1866.0,4,9,2018,67.0,37.0,14.0,Юнацька,16.0
89000.0,2.0,1413.0,12,14,2013,63.0,37.0,11.0,Максимовича,15.0
110000.0,3.0,1122.0,4,25,2010,98.0,59.0,14.0,Комарова,25.0
70000.0,2.0,1167.0,7,12,2019,60.0,26.0,14.0,Багговутівська,20.0
46000.0,1.0,1000.0,8,26,2009,46.0,37.0,14.0,Костанайська,18.0
84000.0,2.0,1400.0,14,24,2009,60.0,37.0,10.0,Костанайська,13.0
160000.0,3.0,1250.0,3,10,2010,128.0,69.0,18.0,Срібнокільська,41.0
42000.0,2.0,913.0,9,9,1970,46.0,37.0,14.0,Курчатова,18.0
61000.0,1.0,1743.0,8,9,1974,35.0,17.0,6.0,Гусовського,12.0
130000.0,3.0,1512.0,5,9,1972,86.0,43.0,9.0,Українки,34.0
120000.0,3.0,1091.0,3,16,2002,110.0,54.0,13.0,Драгоманова,43.0
250000.0,2.0,2874.0,11,23,2012,87.0,56.0,31.0,Дніпровська,0.0
125000.0,3.0,1322.0,19,34,2009,69.0,37.0,14.0,Заболотного,18.0
79235.0,2.0,1152.0,14,34,2009,69.0,37.0,14.0,Заболотного,18.0
113261.0,2.0,1421.0,9,36,1961,69.0,37.0,14.0,Перемоги,18.0
62000.0,1.0,1403.0,24,25,2009,69.0,37.0,14.0,Сверстюка,18.0
131000.0,2.0,2620.0,15,25,2016,50.0,37.0,21.0,Липківського,18.0
300000.0,1.0,4000.0,18,24,2015,75.0,28.0,25.0,Маккейна,22.0
108000.0,3.0,1200.0,3,24,2009,90.0,54.0,10.0,Дніпровська,26.0
47000.0,1.0,1621.0,2,5,1964,29.0,15.0,5.0,Волгоградська,9.0
57000.0,2.0,919.0,2,25,2009,62.0,45.0,14.0,Новопольова,3.0
135482.1,2.0,1782.6,1,25,2015,76.0,37.0,14.0,Драгоманова,25.0
149000.0,4.0,1192.0,3,8,2019,125.0,72.0,17.0,Лебедєва,36.0
85000.0,2.0,1977.0,1,5,1962,43.0,27.0,4.0,Драгомирова,12.0
123900.0,2.0,1721.0,6,30,2009,72.0,46.0,15.0,Драгомирова,11.0
150000.0,1.0,2727.0,3,17,2019,55.0,37.0,14.0,Лейпцизька,4.0
285000.0,3.0,2568.0,4,22,2014,111.0,60.0,35.0,Глибочицька,16.0
115000.0,3.0,1106.0,5,9,2005,104.0,65.0,20.0,Салютна,19.0
45900.0,2.0,1020.0,1,5,1965,45.0,30.0,4.0,Метрологічна,11.0
60000.0,2.0,952.0,18,25,2009,63.0,26.0,17.0,Північно-Сирецька,20.0
115000.0,2.0,1742.0,15,25,2018,66.0,30.0,18.0,Правди,18.0
44000.0,1.0,1023.0,24,26,2018,43.0,28.0,12.0,Вернадського,3.0
85000.0,2.0,1700.0,4,25,2016,50.0,25.0,10.0,Пчілки,15.0
183693.7,2.0,2213.2,8,25,2019,83.0,44.0,15.0,Лейпцизька,24.0
200000.0,3.0,2083.0,2,5,1959,96.0,73.0,7.0,Басейна,16.0
138000.0,2.0,2060.0,13,25,2011,67.0,37.0,14.0,Шаповала,16.0
39500.0,1.0,1013.0,20,25,2009,39.0,37.0,10.0,Бережанська,18.0
123500.0,2.0,1506.0,6,26,2009,82.0,37.0,18.0,Бойчука,27.0
80000.0,2.0,1250.0,11,16,2009,64.0,35.0,16.0,Перемоги,13.0
1976000.0,5.0,3800.0,17,25,2019,520.0,37.0,20.0,Івана Федорова,463.0
320000.0,2.0,3232.0,13,24,2019,99.0,47.0,13.0,Антоновича,39.0
110000.0,2.0,1735.0,1,12,2003,69.0,37.0,14.0,Вільямса,18.0
92000.0,2.0,1686.8,18,26,2009,69.0,37.0,31.0,Бойчука,1.0
101000.0,1.0,1772.0,33,36,2009,57.0,37.0,14.0,Перемоги,6.0
849000.0,2.0,1550.0,8,18,2001,69.0,37.0,14.0,Ковпака,18.0
85000.0,2.0,1545.0,6,16,1973,55.0,22.0,7.0,Русанівський,26.0
330000.0,3.0,2481.0,7,21,2010,133.0,70.0,22.0,Українки,41.0
33900.0,1.0,1169.0,4,5,1969,29.0,16.0,7.0,Празька,6.0
165000.0,4.0,2062.0,4,4,2009,80.0,56.0,11.0,Гончара,13.0
270000.0,2.0,3333.0,11,13,2019,81.0,32.0,20.0,Маккейна,29.0
40000.0,1.0,995.0,14,25,2009,69.0,37.0,12.0,Балтійський,20.0
104000.0,1.0,2122.0,13,26,2015,49.0,25.0,14.0,Білоруська,10.0
75000.0,1.0,1442.0,4,25,2016,52.0,18.0,14.0,Драгоманова,20.0
115000.0,2.0,1613.0,4,25,2009,69.0,37.0,14.0,Липківського,18.0
58000.0,1.0,1758.0,8,9,1972,33.0,19.0,14.0,Новогоспітальна,0.0
30540.0,1.0,1021.4,9,26,2009,69.0,37.0,14.0,Радченка,18.0
259999.0,5.0,1625.0,5,6,1936,160.0,85.0,40.0,Богомольця,35.0
140000.0,3.0,1842.0,26,26,2016,76.0,49.0,10.0,Донця,17.0
160000.0,2.0,2078.0,3,26,2009,77.0,36.0,13.0,Оболонський,28.0
200714.3,4.0,2007.1,2,2,2009,100.0,80.0,20.0,Щекавицька,0.0
65000.0,3.0,1048.0,3,9,1960,62.0,43.0,9.0,Пожарського,10.0
74000.0,3.0,1000.0,7,9,1975,74.0,48.0,8.0,Полкова,18.0
67000.0,2.0,1218.0,3,16,1993,55.0,30.0,8.0,Палладіна,17.0
110000.0,2.0,1630.0,12,24,2009,69.0,37.0,37.0,Бойчука,18.0
127000.0,2.0,1512.0,14,24,2018,84.0,43.0,14.0,Липківського,27.0
180000.0,2.0,1915.0,4,10,2005,94.0,45.0,15.0,Павлівська,34.0
63000.0,3.0,875.0,3,9,1977,72.0,45.0,7.0,Івашкевича,20.0
42900.0,2.0,998.0,1,5,2009,43.0,29.0,14.0,Іскрівська,0.0
95000.0,3.0,1234.0,16,25,2017,77.0,45.0,12.0,Максимовича,20.0
255000.0,4.0,2318.0,3,4,1900,110.0,68.0,13.0,Драгомирова,29.0
100357.1,2.0,1593.0,6,30,2009,63.0,35.0,8.0,Драгомирова,20.0
115000.0,1.0,2614.0,2,7,2019,44.0,14.0,21.0,Теремківська,9.0
113300.0,3.0,1218.0,15,21,2009,93.0,55.0,11.0,Осокорська,27.0
268000.0,4.0,1381.0,18,20,2010,194.0,93.0,35.0,Дмитрівська,66.0
140000.0,3.0,1273.0,3,26,2009,110.0,37.0,14.0,Кондратюка,59.0
146000.0,3.0,1718.0,1,9,2015,85.0,40.0,17.0,Регенераторна,28.0
63000.0,3.0,900.0,23,23,2009,70.0,34.0,14.0,Глибочицька,22.0
495000.0,3.0,3367.0,14,23,2014,147.0,50.0,40.0,Глибочицька,57.0
275000.0,3.0,2644.0,5,24,2008,104.0,70.0,14.0,Героїв Сталінграда,20.0
73500.0,2.0,1361.0,2,9,1966,54.0,32.0,8.0,Борщагівська,14.0
57000.0,2.0,1056.0,7,26,2009,54.0,28.0,9.0,Ревуцького,17.0
121860.0,2.0,1741.0,2,9,2018,70.0,45.0,14.0,Юнацька,11.0
73000.0,2.0,1000.0,21,25,2009,73.0,37.0,14.0,Заболотного,22.0
39000.0,1.0,1147.0,3,5,1960,34.0,18.0,8.0,Автозаводська,8.0
92284.0,2.0,1138.0,6,34,2009,69.0,37.0,14.0,Заболотного,18.0
210000.0,2.0,1736.0,14,24,2008,121.0,60.0,30.0,Саксаганського,31.0
139900.0,4.0,1260.0,6,9,2009,111.0,37.0,14.0,Зарічна,60.0
145000.0,2.0,1686.0,17,23,2005,86.0,48.0,12.0,Героїв Сталінграда,26.0
76000.0,3.0,1086.0,6,9,1980,70.0,34.0,10.0,Героїв Сталінграда,26.0
796000.0,4.0,4020.0,7,15,2009,198.0,65.0,67.0,Драгомирова,66.0
97926.0,1.0,1900.0,9,30,2009,69.0,37.0,14.0,Драгомирова,18.0
46000.0,1.0,1438.0,2,5,1963,32.0,19.0,6.0,Гавела,7.0
115000.0,3.0,1135.0,13,25,2004,69.0,37.0,14.0,Здолбунівська,18.0
430000.0,3.0,3909.0,8,22,2014,110.0,62.0,14.0,Драгомирова,34.0
3210000.0,5.0,8025.0,10,10,1961,400.0,250.0,50.0,Мечнікова,100.0
127900.0,2.0,1776.0,13,24,2017,72.0,35.0,17.0,Максимовича,20.0
75000.0,2.0,1250.0,4,5,1938,60.0,45.0,9.0,Багговутівська,6.0
90005.0,2.0,1915.0,8,15,2009,47.0,17.0,20.0,Шолуденка,10.0
284999.0,2.0,3202.0,3,18,2005,89.0,50.0,16.0,Щекавицька,23.0
51000.0,3.0,850.0,2,9,1972,60.0,40.0,6.0,Коласа,14.0
320000.0,3.0,3107.0,8,24,2013,103.0,37.0,16.0,Перемоги,50.0
43000.0,2.0,782.0,24,26,2009,55.0,37.0,11.0,Перемоги,7.0
91000.0,1.0,1750.0,33,35,2009,52.0,20.0,22.0,Перемоги,10.0
185000.0,2.0,2256.0,6,9,2009,82.0,35.0,24.0,Наумова,23.0
49990.0,3.0,757.0,8,9,1976,66.0,45.0,8.0,Наумова,13.0
89000.0,1.0,2342.0,7,15,2009,38.0,20.0,7.0,Перемоги,11.0
170000.0,2.0,2656.0,5,7,1948,64.0,37.0,9.0,Велика Васильківська,18.0
46500.0,2.0,1011.0,5,5,1963,46.0,31.0,7.0,Вишгородська,8.0
